date,open,high,low,close,volume,ticker
2016-05-25,117.21019030256372,117.74598655706407,116.46603009964473,116.97206115722656,20019800,META
2016-05-26,117.3193307493441,118.82749961946467,117.00182270879063,118.53975677490234,18481300,META
2016-05-27,118.62906110039876,118.91680396615455,118.08334813706001,118.4504623413086,13493600,META
2016-05-31,118.52984334946235,119.16485948858971,117.20028067378614,117.88490295410156,23547600,META
2016-06-01,117.57732206450724,118.15280782052345,116.90261645365815,117.85514068603516,15029500,META
2016-06-02,117.76584574761952,118.51000601802072,117.2995041003031,118.00397491455078,13228300,META
2016-06-03,118.05357744224473,118.05357744224473,116.94229548520448,117.54754638671875,14135100,META
2016-06-06,117.69639201583605,118.50008269178208,117.4384143338079,117.86506652832031,12744700,META
2016-06-07,118.31154281397929,118.37108077519133,116.75376782706302,116.84307098388672,17103000,META
2016-06-08,116.84307072022061,117.67652647542126,116.35688062636488,117.4681625366211,14505600,META
2016-06-09,117.2101886737683,117.75590917632097,116.79346078272204,117.6368408203125,13859200,META
2016-06-10,116.62478690035438,117.19034834687773,115.35475470956433,115.71195220947266,18510800,META
2016-06-13,114.10456381756032,114.58082967559399,112.4277204138449,113.06273651123047,31718200,META
2016-06-14,113.18179259492065,114.0549377416456,112.69561010401604,114.0450210571289,17618500,META
2016-06-15,114.40224917902974,114.5411584993728,113.18182292745546,113.70769500732422,19819400,META
2016-06-16,112.98338080154853,113.60847272979991,112.06062172461169,113.49932861328125,19236300,META
2016-06-17,113.52908476400712,113.53900902016952,111.68356675725173,112.13998413085938,24644300,META
2016-06-20,112.88414595270305,113.82675348159424,111.87209133967171,112.48726654052734,20785400,META
2016-06-21,113.231425041676,114.31293429210635,113.08259147941776,113.48939514160156,19166300,META
2016-06-22,113.75729198260645,113.84658757397614,112.72538891906295,113.02305603027344,14846300,META
2016-06-23,113.47948152578228,114.19386901796958,112.65594235299555,114.18395233154297,16176900,META
2016-06-24,110.14563762269253,112.79484620850086,110.13571336675618,111.20730590820312,40643100,META
2016-06-27,110.70127493259353,110.70127493259353,107.38728502593372,108.12152099609375,36130400,META
2016-06-28,109.7685897340645,111.87208532750277,109.68921839788862,111.82247161865234,26813800,META
2016-06-29,112.48725328958129,113.36039849149712,112.1598210001171,113.27110290527344,20968300,META
2016-06-30,113.7771375841522,114.28316866594061,112.78492393279657,113.39017486572266,23192700,META
2016-07-01,113.31079711835174,114.23355612637114,112.9238343959555,113.3008804321289,14980000,META
2016-07-05,113.05282853993931,113.31079864501953,112.09038006409278,113.31079864501953,14207000,META
2016-07-06,112.47733851561046,115.88063159391584,112.09037580271186,115.79132843017578,24337600,META
2016-07-07,115.7218777226838,116.05923430721589,114.46176969131845,114.94795227050781,16630200,META
2016-07-08,115.52344249643667,116.58511086277039,114.9479567281463,116.32713317871094,18142600,META
2016-07-11,116.7934592960603,117.77574861816265,116.58509535318944,116.95221710205078,17711600,META
2016-07-12,117.70630342902031,117.79560659456325,116.65455937477974,117.01175689697266,15217700,META
2016-07-13,117.46816917528216,117.47809343102075,115.77148480346032,115.8707046508789,16207700,META
2016-07-14,116.58509581625707,116.72400511205605,115.79132192312956,116.3767318725586,14579700,META
2016-07-15,116.82323379347616,117.35903007637006,115.67226988836256,115.95008850097656,16646000,META
2016-07-18,116.40649565385152,118.67866563607161,115.97984351622961,118.44053649902344,20868400,META
2016-07-19,118.06350194471125,119.90901996824144,117.73607718827036,119.67089080810547,21541300,META
2016-07-20,120.30589894193463,121.24849883348408,119.62126913586857,120.9706802368164,20046500,META
2016-07-21,120.97068828758498,121.14928705018434,119.31369328290675,119.67089080810547,17801700,META
2016-07-22,118.96641261906706,120.06777032497166,118.38100265638425,120.05784606933594,18422400,META
2016-07-25,120.44481609165388,120.9012334687872,116.86292415829227,120.68294525146484,18487400,META
2016-07-26,121.05006373143725,121.11951838323769,119.80979668500859,120.27613830566406,17612000,META
2016-07-27,121.46680385075278,124.02671710867341,120.56389328659647,122.379638671875,52654200,META
2016-07-28,126.52707788014226,127.33077606240288,122.66736749208904,124.02670288085938,78955800,META
2016-07-29,123.6794310995015,124.86016017739414,122.74674786033498,122.97496032714844,35058800,META
2016-08-01,122.88564657948214,123.60996580134085,121.90335728517064,123.3420639038086,25006900,META
2016-08-02,123.09403269500874,123.82827630425112,121.11952949553745,122.13158416748047,23968400,META
2016-08-03,122.13156944838727,122.95510856031865,121.35764404488127,121.55609130859375,18525300,META
2016-08-04,121.98275905710501,123.81835295366672,121.55610684806722,123.3917007446289,21066000,META
2016-08-05,124.0068626093429,124.86015936538449,123.64966509751655,124.175537109375,20184000,META
2016-08-08,124.27474371392658,124.47318339046443,123.5801972760557,124.28466796875,15233900,META
2016-08-09,124.36406130008176,125.10822157373947,123.56037062692816,124.08624267578125,19621000,META
2016-08-10,124.09615392570754,124.50296513293051,123.57028193197166,123.90763092041016,10670100,META
2016-08-11,124.2251497965935,124.40374856192045,123.77865666827094,123.927490234375,11729500,META
2016-08-12,123.72903217065185,124.02669927691203,123.21308443245505,123.90763092041016,12159000,META
2016-08-15,123.93739473538061,123.94731142021445,122.73680971150465,122.93525695800781,19295100,META
2016-08-16,122.53838262903855,122.95511053454233,121.82398760818111,122.3399429321289,14222400,META
2016-08-17,122.6971405624216,123.41152801398773,121.89344237817724,123.401611328125,13794200,META
2016-08-18,123.04441791093475,123.29247132556127,122.6772961320913,122.94519805908203,12400800,META
2016-08-19,122.63758983991484,123.19323455998425,122.32008181558452,122.597900390625,11688300,META
2016-08-22,122.36970424829119,123.85802463787394,122.15141604662082,123.18331909179688,14386400,META
2016-08-23,123.5405206300953,124.11599877969114,123.28254296786938,123.401611328125,13309500,META
2016-08-24,123.50082877928679,123.71911698385676,122.13156915788929,122.51853942871094,12243700,META
2016-08-25,122.16133004402,123.4015969311913,122.1414815346318,122.92533111572266,10730800,META
2016-08-26,123.08410430014963,124.21522723707574,122.94519499701761,123.98701477050781,17504800,META
2016-08-29,123.38176766986851,125.74324103623479,123.38176766986851,125.55471801757812,15925900,META
2016-08-30,125.61424531365566,125.61424531365566,124.17553856360955,124.86016082763672,17804300,META
2016-08-31,124.6220375027442,125.23721271353268,124.12593065952468,125.13799285888672,14200600,META
2016-09-01,125.39595550609046,125.6440089129414,124.6220300879138,125.18759155273438,13536100,META
2016-09-02,125.86229711983339,125.87222137570421,125.01891705055368,125.52494812011719,12118800,META
2016-09-06,125.68370764869786,128.92825068912504,125.48526793655721,128.71987915039062,26278400,META
2016-09-07,129.02744143203958,130.95233811236915,128.93814584748253,130.0295867919922,27990800,META
2016-09-08,129.90059375034136,130.05935154900416,128.79923612458094,129.2556610107422,15676600,META
2016-09-09,128.70003732683477,128.9381589097769,126.1103515625,126.1103515625,27100700,META
2016-09-12,124.97924144750411,127.75743537007445,124.77087747106059,127.68798828125,21252800,META
2016-09-13,127.03310489340298,127.35062050983451,125.67377711800295,126.21949005126953,18016200,META
2016-09-14,125.9019935397644,127.7971253065271,125.9019935397644,126.77513885498047,15691100,META
2016-09-15,126.98350992756136,128.09479197287308,126.67591853957931,127.35063171386719,15077200,META
2016-09-16,127.20176640978808,128.17413139094592,127.20176640978808,128.06500244140625,24119200,META
2016-09-19,128.89846844040872,128.92823363629392,127.26130696683522,127.64826965332031,14958800,META
2016-09-20,127.64826812561354,128.16422341474453,127.03310056471183,127.63835144042969,11083800,META
2016-09-21,128.1245776468545,128.99771552843313,127.39033395690775,128.9282684326172,14068300,META
2016-09-22,129.4838818485516,129.71208674978027,128.5511985913838,129.06715393066406,15538300,META
2016-09-23,126.56675899798033,127.598669576377,126.30878892336986,126.9636459350586,28326300,META
2016-09-26,126.37825592341736,127.1621056190234,125.81269444304203,126.31871795654297,15064900,META
2016-09-27,126.61639562812042,128.00548880441056,126.43779685259881,127.68798828125,15637100,META
2016-09-28,128.20393676870705,128.46190687614944,127.40023096710026,128.22377014160156,12047600,META
2016-09-29,128.17415299072167,128.28329709863056,126.55685502440868,127.09264373779297,14532200,META
2016-09-30,127.03311113973648,127.58874835583497,126.45762541164058,127.27124786376953,18402900,META
2016-10-03,127.38040175815047,128.08486501841642,126.8049159858322,127.76736450195312,13156900,META
2016-10-04,128.16422910406263,128.27337320583962,126.55684791423616,127.19186401367188,14307500,META
2016-10-05,127.25137735304492,127.79709778879197,126.83464951301336,127.46966552734375,12386800,META
2016-10-06,127.42999564613153,128.05509510928036,127.08272994214381,127.73759460449219,11682700,META
2016-10-07,128.03527057837354,128.243642151779,127.33080721206127,127.98567199707031,12804400,META
2016-10-10,128.670254031361,129.68231615553734,128.19399573644552,129.2259063720703,15138700,META
